Count	Timestamp	Time since start (s)		Cray node E (J)	Cray cpu E (J)	Cray memory E (J)	Cray node E since start (J)	Cray cpu E since start (J)	Cray memory E since start (J)	Cray node P (W)	Cray cpu P (W)	Cray memory P (W)	Cray node P calc (W)	Cray cpu P calc (W)	Cray memory P calc (W)	Cpufreq frequency (MHz)	Cray frequency (MHz)	
--- EMON TAG START: application_summary
110	2019-08-21 17:12:54	55.000000	697140375.000000	403166352.000000	46631749.000000	7004.000000	4373.000000	710.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
111	2019-08-21 17:12:55	56.000000	697140439.000000	403166391.000000	46631756.000000	7068.000000	4412.000000	717.000000	127.000000	80.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
112	2019-08-21 17:12:55	56.000000	697140503.000000	403166432.000000	46631762.000000	7132.000000	4453.000000	723.000000	127.000000	79.000000	13.000000	128.000000	82.000000	12.000000	1301.000000	10.000000	
113	2019-08-21 17:12:56	57.000000	697140566.000000	403166471.000000	46631768.000000	7195.000000	4492.000000	729.000000	128.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
114	2019-08-21 17:12:56	57.000000	697140630.000000	403166510.000000	46631775.000000	7259.000000	4531.000000	736.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
115	2019-08-21 17:12:57	58.000000	697140693.000000	403166550.000000	46631781.000000	7322.000000	4571.000000	742.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
116	2019-08-21 17:12:57	58.000000	697140757.000000	403166590.000000	46631788.000000	7386.000000	4611.000000	749.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
117	2019-08-21 17:12:58	59.000000	697140821.000000	403166629.000000	46631794.000000	7450.000000	4650.000000	755.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
118	2019-08-21 17:12:58	59.000000	697140884.000000	403166669.000000	46631801.000000	7513.000000	4690.000000	762.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
119	2019-08-21 17:12:59	60.000000	697140948.000000	403166709.000000	46631807.000000	7577.000000	4730.000000	768.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
120	2019-08-21 17:12:59	60.000000	697141012.000000	403166748.000000	46631814.000000	7641.000000	4769.000000	775.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
121	2019-08-21 17:13:00	61.000000	697141075.000000	403166788.000000	46631820.000000	7704.000000	4809.000000	781.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
122	2019-08-21 17:13:00	61.000000	697141139.000000	403166827.000000	46631827.000000	7768.000000	4848.000000	788.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
123	2019-08-21 17:13:01	62.000000	697141203.000000	403166867.000000	46631833.000000	7832.000000	4888.000000	794.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
124	2019-08-21 17:13:01	62.000000	697141267.000000	403166907.000000	46631840.000000	7896.000000	4928.000000	801.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
125	2019-08-21 17:13:02	63.000000	697141330.000000	403166946.000000	46631846.000000	7959.000000	4967.000000	807.000000	128.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
126	2019-08-21 17:13:02	63.000000	697141394.000000	403166986.000000	46631853.000000	8023.000000	5007.000000	814.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
127	2019-08-21 17:13:03	64.000000	697141457.000000	403167026.000000	46631859.000000	8086.000000	5047.000000	820.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
128	2019-08-21 17:13:03	64.000000	697141521.000000	403167065.000000	46631866.000000	8150.000000	5086.000000	827.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
129	2019-08-21 17:13:04	65.000000	697141585.000000	403167105.000000	46631872.000000	8214.000000	5126.000000	833.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
